# Time (Myr)  Mass (Me)  Radius (Re)  Mass-loss rate (Me/Myr)  Water Mass fraction
3151.00000000   2.02426424   1.93985083   0.00000611   0.44325450
3161.00000000   2.02420324   1.93982801   0.00000608   0.44323772
3171.00000000   2.02414252   1.93980530   0.00000606   0.44322102
3181.00000000   2.02408209   1.93978270   0.00000603   0.44320440
3191.00000000   2.02402194   1.93976020   0.00000600   0.44318785
3201.00000000   2.02396207   1.93973780   0.00000597   0.44317138
3211.00000000   2.02390248   1.93971551   0.00000594   0.44315499
3221.00000000   2.02384317   1.93969332   0.00000592   0.44313867
3231.00000000   2.02378414   1.93967123   0.00000589   0.44312243
3241.00000000   2.02372537   1.93964924   0.00000586   0.44310626
3251.00000000   2.02366688   1.93962736   0.00000583   0.44309016
3261.00000000   2.02360866   1.93960557   0.00000581   0.44307414
3271.00000000   2.02355070   1.93958388   0.00000578   0.44305818
3281.00000000   2.02349301   1.93956229   0.00000575   0.44304231
3291.00000000   2.02343558   1.93954079   0.00000573   0.44302650
3301.00000000   2.02337841   1.93951939   0.00000570   0.44301076
3311.00000000   2.02332149   1.93949809   0.00000568   0.44299509
3321.00000000   2.02326484   1.93947688   0.00000565   0.44297950
3331.00000000   2.02320844   1.93945577   0.00000563   0.44296397
3341.00000000   2.02315229   1.93943475   0.00000560   0.44294851
3351.00000000   2.02309639   1.93941382   0.00000558   0.44293312
3361.00000000   2.02304075   1.93939299   0.00000555   0.44291779
3371.00000000   2.02298535   1.93937224   0.00000553   0.44290254
3381.00000000   2.02293019   1.93935159   0.00000550   0.44288735
3391.00000000   2.02287528   1.93933103   0.00000548   0.44287223
3401.00000000   2.02282061   1.93931055   0.00000545   0.44285717
3411.00000000   2.02276618   1.93929017   0.00000543   0.44284218
3421.00000000   2.02271199   1.93926987   0.00000541   0.44282725
3431.00000000   2.02265803   1.93924967   0.00000538   0.44281239
3441.00000000   2.02260431   1.93922954   0.00000536   0.44279759
3451.00000000   2.02255082   1.93920951   0.00000534   0.44278285
3461.00000000   2.02249757   1.93918956   0.00000531   0.44276818
3471.00000000   2.02244454   1.93916969   0.00000529   0.44275357
3481.00000000   2.02239174   1.93914991   0.00000527   0.44273902
3491.00000000   2.02233917   1.93913022   0.00000524   0.44272454
3501.00000000   2.02228683   1.93911060   0.00000522   0.44271011
3511.00000000   2.02223470   1.93909107   0.00000520   0.44269575
3521.00000000   2.02218280   1.93907163   0.00000518   0.44268144
3531.00000000   2.02213112   1.93905226   0.00000516   0.44266720
3541.00000000   2.02207966   1.93903297   0.00000513   0.44265301
3551.00000000   2.02202841   1.93901377   0.00000511   0.44263889
3561.00000000   2.02197738   1.93899464   0.00000509   0.44262482
3571.00000000   2.02192656   1.93897560   0.00000507   0.44261081
3581.00000000   2.02187596   1.93895663   0.00000505   0.44259686
3591.00000000   2.02182556   1.93893774   0.00000503   0.44258297
3601.00000000   2.02177538   1.93891893   0.00000501   0.44256913
3611.00000000   2.02172540   1.93890019   0.00000499   0.44255536
3621.00000000   2.02167564   1.93888154   0.00000497   0.44254163
3631.00000000   2.02162607   1.93886295   0.00000495   0.44252797
3641.00000000   2.02157671   1.93884445   0.00000492   0.44251435
3651.00000000   2.02152755   1.93882602   0.00000490   0.44250080
3661.00000000   2.02147860   1.93880766   0.00000488   0.44248730
3671.00000000   2.02142984   1.93878938   0.00000486   0.44247385
3681.00000000   2.02138128   1.93877117   0.00000484   0.44246046
3691.00000000   2.02133292   1.93875303   0.00000483   0.44244712
3701.00000000   2.02128476   1.93873497   0.00000481   0.44243383
3711.00000000   2.02123678   1.93871698   0.00000479   0.44242060
3721.00000000   2.02118901   1.93869906   0.00000477   0.44240742
3731.00000000   2.02114142   1.93868121   0.00000475   0.44239429
3741.00000000   2.02109402   1.93866343   0.00000473   0.44238121
3751.00000000   2.02104682   1.93864572   0.00000471   0.44236819
3761.00000000   2.02099980   1.93862808   0.00000469   0.44235521
3771.00000000   2.02095296   1.93861051   0.00000467   0.44234229
3781.00000000   2.02090632   1.93859301   0.00000465   0.44232942
3791.00000000   2.02085985   1.93857558   0.00000464   0.44231660
3801.00000000   2.02081358   1.93855822   0.00000462   0.44230383
3811.00000000   2.02076748   1.93854092   0.00000460   0.44229110
3821.00000000   2.02072156   1.93852369   0.00000458   0.44227843
3831.00000000   2.02067582   1.93850653   0.00000456   0.44226581
3841.00000000   2.02063026   1.93848943   0.00000455   0.44225323
3851.00000000   2.02058488   1.93847240   0.00000453   0.44224070
3861.00000000   2.02053968   1.93845544   0.00000451   0.44222823
3871.00000000   2.02049464   1.93843854   0.00000449   0.44221579
3881.00000000   2.02044979   1.93842170   0.00000448   0.44220341
3891.00000000   2.02040510   1.93840493   0.00000446   0.44219107
3901.00000000   2.02036059   1.93838822   0.00000444   0.44217878
3911.00000000   2.02031625   1.93837158   0.00000442   0.44216654
3921.00000000   2.02027207   1.93835499   0.00000441   0.44215434
3931.00000000   2.02022807   1.93833847   0.00000439   0.44214219
3941.00000000   2.02018423   1.93832202   0.00000437   0.44213009
3951.00000000   2.02014056   1.93830562   0.00000436   0.44211803
3961.00000000   2.02009705   1.93828929   0.00000434   0.44210601
3971.00000000   2.02005371   1.93827301   0.00000433   0.44209404
3981.00000000   2.02001053   1.93825680   0.00000431   0.44208212
3991.00000000   2.01996751   1.93824065   0.00000429   0.44207023
4001.00000000   2.01992465   1.93822455   0.00000428   0.44205840
4011.00000000   2.01988196   1.93820852   0.00000426   0.44204660
4021.00000000   2.01983942   1.93819255   0.00000425   0.44203485
4031.00000000   2.01979704   1.93817663   0.00000423   0.44202314
4041.00000000   2.01975482   1.93816077   0.00000421   0.44201148
4051.00000000   2.01971275   1.93814497   0.00000420   0.44199986
4061.00000000   2.01967084   1.93812923   0.00000418   0.44198828
4071.00000000   2.01962908   1.93811355   0.00000417   0.44197674
4081.00000000   2.01958748   1.93809792   0.00000415   0.44196525
4091.00000000   2.01954603   1.93808235   0.00000414   0.44195379
4101.00000000   2.01950472   1.93806683   0.00000412   0.44194238
4111.00000000   2.01946357   1.93805137   0.00000411   0.44193101
4121.00000000   2.01942257   1.93803597   0.00000409   0.44191968
4131.00000000   2.01938172   1.93802062   0.00000408   0.44190839
4141.00000000   2.01934102   1.93800533   0.00000406   0.44189714
4151.00000000   2.01930046   1.93799009   0.00000405   0.44188593
4161.00000000   2.01926005   1.93797491   0.00000403   0.44187476
4171.00000000   2.01921978   1.93795978   0.00000402   0.44186363
4181.00000000   2.01917966   1.93794470   0.00000400   0.44185254
4191.00000000   2.01913968   1.93792968   0.00000399   0.44184149
4201.00000000   2.01909985   1.93791471   0.00000398   0.44183048
4211.00000000   2.01906015   1.93789979   0.00000396   0.44181950
4221.00000000   2.01902060   1.93788492   0.00000395   0.44180857
4231.00000000   2.01898118   1.93787011   0.00000393   0.44179767
4241.00000000   2.01894191   1.93785535   0.00000392   0.44178681
4251.00000000   2.01890277   1.93784064   0.00000391   0.44177599
4261.00000000   2.01886378   1.93782598   0.00000389   0.44176521
