# Time (Myr)  Mass (Me)  Radius (Re)  Mass-loss rate (Me/Myr)  Water Mass fraction
42.10000000   0.80478131   1.56298560   0.00738465   0.06806980
42.20000000   0.80404864   1.55544193   0.00725632   0.06722061
42.30000000   0.80332866   1.54800158   0.00713124   0.06638462
42.40000000   0.80262105   1.54066260   0.00700931   0.06556152
42.50000000   0.80192550   1.53342306   0.00689042   0.06475102
42.60000000   0.80124170   1.52628105   0.00677450   0.06395286
42.70000000   0.80056936   1.51923474   0.00666143   0.06316674
42.80000000   0.79990820   1.51228230   0.00655115   0.06239241
42.90000000   0.79925795   1.50542195   0.00644355   0.06162960
43.00000000   0.79861834   1.49865197   0.00633856   0.06087807
43.10000000   0.79798911   1.49197064   0.00623610   0.06013756
43.20000000   0.79737002   1.48537630   0.00613610   0.05940783
43.30000000   0.79676083   1.47886733   0.00603847   0.05868866
43.40000000   0.79616129   1.47244211   0.00594315   0.05797982
43.50000000   0.79557118   1.46609910   0.00585007   0.05728108
43.60000000   0.79499028   1.45983676   0.00575917   0.05659224
43.70000000   0.79441838   1.45365360   0.00567037   0.05591308
43.80000000   0.79385526   1.44754815   0.00558361   0.05524340
43.90000000   0.79330073   1.44151899   0.00549885   0.05458300
44.00000000   0.79275459   1.43556471   0.00541601   0.05393168
44.10000000   0.79221665   1.42968395   0.00533505   0.05328927
44.20000000   0.79168672   1.42387536   0.00525590   0.05265557
44.30000000   0.79116462   1.41813764   0.00517852   0.05203042
44.40000000   0.79065019   1.41246950   0.00510286   0.05141362
44.50000000   0.79014325   1.40686969   0.00502886   0.05080503
44.60000000   0.78964363   1.40133698   0.00495649   0.05020446
44.70000000   0.78915118   1.39587017   0.00488569   0.04961176
44.80000000   0.78866574   1.39046810   0.00481642   0.04902678
44.90000000   0.78818716   1.38512960   0.00474864   0.04844936
45.00000000   0.78771530   1.37985357   0.00468230   0.04787935
45.10000000   0.78725000   1.37463889   0.00461738   0.04731661
45.20000000   0.78679113   1.36948449   0.00455382   0.04676099
45.30000000   0.78633856   1.36438933   0.00449159   0.04621236
45.40000000   0.78589216   1.35935238   0.00443066   0.04567059
45.50000000   0.78545178   1.35437262   0.00437099   0.04513553
45.60000000   0.78501733   1.34944907   0.00431254   0.04460707
45.70000000   0.78458866   1.34458077   0.00425529   0.04408508
45.80000000   0.78416566   1.33976677   0.00419921   0.04356944
45.90000000   0.78374822   1.33500616   0.00414425   0.04306003
46.00000000   0.78333623   1.33029803   0.00409040   0.04255673
46.10000000   0.78292957   1.32564149   0.00403762   0.04205943
46.20000000   0.78252815   1.32103568   0.00398588   0.04156803
46.30000000   0.78213185   1.31647976   0.00393516   0.04108240
46.40000000   0.78174058   1.31197289   0.00388544   0.04060245
46.50000000   0.78135424   1.30751427   0.00383668   0.04012807
