# Time (Myr)  Mass (Me)  Radius (Re)  Mass-loss rate (Me/Myr)  Water Mass fraction
3961.00000000   2.65661518   2.18226292   0.00000035   0.66406877
3971.00000000   2.65661167   2.18226221   0.00000035   0.66406833
3981.00000000   2.65660816   2.18226150   0.00000035   0.66406788
3991.00000000   2.65660468   2.18226080   0.00000035   0.66406744
4001.00000000   2.65660120   2.18226010   0.00000035   0.66406700
4011.00000000   2.65659774   2.18225940   0.00000035   0.66406657
4021.00000000   2.65659429   2.18225870   0.00000034   0.66406613
4031.00000000   2.65659086   2.18225801   0.00000034   0.66406570
4041.00000000   2.65658744   2.18225732   0.00000034   0.66406526
4051.00000000   2.65658403   2.18225663   0.00000034   0.66406483
4061.00000000   2.65658063   2.18225594   0.00000034   0.66406440
4071.00000000   2.65657724   2.18225526   0.00000034   0.66406397
4081.00000000   2.65657387   2.18225457   0.00000034   0.66406355
4091.00000000   2.65657051   2.18225389   0.00000034   0.66406312
4101.00000000   2.65656716   2.18225322   0.00000033   0.66406270
4111.00000000   2.65656383   2.18225254   0.00000033   0.66406228
4121.00000000   2.65656051   2.18225187   0.00000033   0.66406186
4131.00000000   2.65655719   2.18225120   0.00000033   0.66406144
4141.00000000   2.65655390   2.18225054   0.00000033   0.66406102
4151.00000000   2.65655061   2.18224987   0.00000033   0.66406061
4161.00000000   2.65654733   2.18224921   0.00000033   0.66406019
4171.00000000   2.65654407   2.18224855   0.00000033   0.66405978
4181.00000000   2.65654082   2.18224789   0.00000032   0.66405937
4191.00000000   2.65653758   2.18224724   0.00000032   0.66405896
4201.00000000   2.65653435   2.18224659   0.00000032   0.66405855
4211.00000000   2.65653113   2.18224594   0.00000032   0.66405814
4221.00000000   2.65652792   2.18224529   0.00000032   0.66405774
4231.00000000   2.65652473   2.18224464   0.00000032   0.66405733
4241.00000000   2.65652155   2.18224400   0.00000032   0.66405693
4251.00000000   2.65651838   2.18224336   0.00000032   0.66405653
4261.00000000   2.65651521   2.18224272   0.00000032   0.66405613
